3/2/13,2:00 PM,Uconn,H,1
3/4/13,7:00 PM,MBB at Louisville,A,1
3/9/13,4:00 PM,USF,H,1
3/12/13,TBA,BIG EAST First Round,A,1
3/13/13,TBA,BIG EAST Second Round,A,1
3/14/13,TBA,BIG EAST Quarterfinal,A,1
3/15/13,TBA,BIG EAST Semifinal,A,1
3/16/13,TBA,BIG EAST Final,A,1
11/4/12,7:00 PM,Kentucky Wesleyan (EXH.),H,6
11/9/12,7:00 PM,Northern Kentucky,H,6
11/14/12,7:00 PM,Ohio State,A,6
11/19/12,7:00 PM,Kent State,A,6
11/25/12,2:00 PM,College of Charleston,H,6
11/28/12,7:00 PM,Morehead State,H,6
12/2/12,2:00 PM,Xavier,H,6
12/5/12,7:00 PM,Youngstown,H,6
12/9/12,2:00 PM,Eastern Kentucky,H,6
12/15/12,7:00 PM,Akron,A,6
12/21/12,12:00 PM,Belmost,H,6
12/28/12,10:30 PM,Alabama,A,6
12/29/12,11:00 PM,Hawaii,A,6
12/30/12,8:30 PM,Long Island,A,6
1/6/13,2:00 PM,Villanova,H,6
1/9/13,7:00 PM,Seton Hall,H,6
1/15/13,TBA,USF,A,6
1/18/13,TBA,Louisville,A,6
1/22/13,7:00 PM,DePaul,H,6
1/26/13,8:00 PM,Connecticut,H,6
1/29/13,TBA,Georgetown,A,6
2/2/13,TBA,Notre Dame,A,6
2/5/13,7:00 PM,Syracuse,H,6
2/9/13,6:00 PM,Rutgers (BIG EAST TV),A,6
2/17/13,5:00 PM,Marquette,A,6
2/20/13,TBA,St. John\'s (ESPN2),A,6
2/23/13,2:00 PM,Providence,H,6
3/2/13,5:00 PM,Rutgers,H,6
3/4/13,4:00 PM,Marquette,A,6
3/8/13,TBA,BIG EAST Championship,A,6
